series,model,target_group,target_date,history_days,status,reason
PV,B1,autumn,2025-09-23,14,completed,
PV,B2,autumn,2025-09-23,14,completed,
PV,B3,autumn,2025-09-23,14,completed,
PV,B4,autumn,2025-09-23,14,completed,
PV,DLinear,autumn,2025-09-23,14,completed,
PV,B0,autumn,2025-09-23,30,completed,
PV,B1,autumn,2025-09-23,30,completed,
PV,B2,autumn,2025-09-23,30,completed,
PV,B3,autumn,2025-09-23,30,completed,
PV,B4,autumn,2025-09-23,30,completed,
PV,DLinear,autumn,2025-09-23,30,completed,
PV,B0,autumn,2025-09-23,60,completed,
PV,B1,autumn,2025-09-23,60,completed,
PV,B2,autumn,2025-09-23,60,completed,
PV,B3,autumn,2025-09-23,60,completed,
PV,B4,autumn,2025-09-23,60,completed,
PV,DLinear,autumn,2025-09-23,60,completed,
PV,B0,autumn,2025-09-23,90,completed,
PV,B1,autumn,2025-09-23,90,completed,
PV,B2,autumn,2025-09-23,90,completed,
PV,B3,autumn,2025-09-23,90,completed,
PV,B4,autumn,2025-09-23,90,completed,
PV,DLinear,autumn,2025-09-23,90,completed,
PV,B0,autumn,2025-09-23,180,completed,
PV,B1,autumn,2025-09-23,180,completed,
PV,B2,autumn,2025-09-23,180,completed,
PV,B3,autumn,2025-09-23,180,completed,
PV,B4,autumn,2025-09-23,180,completed,
PV,DLinear,autumn,2025-09-23,180,completed,
Load,B0,winter,2025-12-21,7,completed,
Load,B1,winter,2025-12-21,7,completed,
Load,B2,winter,2025-12-21,7,completed,
Load,B3,winter,2025-12-21,7,completed,
Load,B4,winter,2025-12-21,7,completed,
Load,DLinear,winter,2025-12-21,7,skipped,insufficient_points_for_context_plus_target
Load,B0,winter,2025-12-21,14,completed,
Load,B1,winter,2025-12-21,14,completed,
Load,B2,winter,2025-12-21,14,completed,
Load,B3,winter,2025-12-21,14,completed,
Load,B4,winter,2025-12-21,14,completed,
Load,DLinear,winter,2025-12-21,14,completed,
Load,B0,winter,2025-12-21,30,completed,
Load,B1,winter,2025-12-21,30,completed,
Load,B2,winter,2025-12-21,30,completed,
Load,B3,winter,2025-12-21,30,completed,
Load,B4,winter,2025-12-21,30,completed,
Load,DLinear,winter,2025-12-21,30,completed,
Load,B0,winter,2025-12-21,60,completed,
Load,B1,winter,2025-12-21,60,completed,
Load,B2,winter,2025-12-21,60,completed,
Load,B3,winter,2025-12-21,60,completed,
Load,B4,winter,2025-12-21,60,completed,
Load,DLinear,winter,2025-12-21,60,completed,
Load,B0,winter,2025-12-21,90,completed,
Load,B1,winter,2025-12-21,90,completed,
Load,B2,winter,2025-12-21,90,completed,
Load,B3,winter,2025-12-21,90,completed,
Load,B4,winter,2025-12-21,90,completed,
Load,DLinear,winter,2025-12-21,90,completed,
Load,B0,winter,2025-12-21,180,completed,
Load,B1,winter,2025-12-21,180,completed,
Load,B2,winter,2025-12-21,180,completed,
Load,B3,winter,2025-12-21,180,completed,
Load,B4,winter,2025-12-21,180,completed,
Load,DLinear,winter,2025-12-21,180,completed,
PV,B0,winter,2025-12-21,7,completed,
PV,B1,winter,2025-12-21,7,completed,
PV,B2,winter,2025-12-21,7,completed,
PV,B3,winter,2025-12-21,7,completed,
PV,B4,winter,2025-12-21,7,completed,
PV,DLinear,winter,2025-12-21,7,completed,
PV,B0,winter,2025-12-21,14,completed,
PV,B1,winter,2025-12-21,14,completed,
PV,B2,winter,2025-12-21,14,completed,
PV,B3,winter,2025-12-21,14,completed,
PV,B4,winter,2025-12-21,14,completed,
PV,DLinear,winter,2025-12-21,14,completed,
PV,B0,winter,2025-12-21,30,completed,
PV,B1,winter,2025-12-21,30,completed,
PV,B2,winter,2025-12-21,30,completed,
PV,B3,winter,2025-12-21,30,completed,
PV,B4,winter,2025-12-21,30,completed,
PV,DLinear,winter,2025-12-21,30,completed,
PV,B0,winter,2025-12-21,60,completed,
PV,B1,winter,2025-12-21,60,completed,
PV,B2,winter,2025-12-21,60,completed,
PV,B3,winter,2025-12-21,60,completed,
PV,B4,winter,2025-12-21,60,completed,
PV,DLinear,winter,2025-12-21,60,completed,
PV,B0,winter,2025-12-21,90,completed,
PV,B1,winter,2025-12-21,90,completed,
PV,B2,winter,2025-12-21,90,completed,
PV,B3,winter,2025-12-21,90,completed,
PV,B4,winter,2025-12-21,90,completed,
PV,DLinear,winter,2025-12-21,90,completed,
PV,B0,winter,2025-12-21,180,completed,
PV,B1,winter,2025-12-21,180,completed,
PV,B2,winter,2025-12-21,180,completed,
PV,B3,winter,2025-12-21,180,completed,
PV,B4,winter,2025-12-21,180,completed,
PV,DLinear,winter,2025-12-21,180,completed,
